PATH,ACTUAL FLOW,Date,Time
﻿British Columbia,-608,2021-03-20,14:56
Montana,-224,2021-03-20,14:56
Saskatchewan,0,2021-03-20,14:56
TOTAL,-832,2021-03-20,14:56
﻿British Columbia,-583,2021-03-20,14:58
Montana,-230,2021-03-20,14:58
Saskatchewan,0,2021-03-20,14:58
TOTAL,-813,2021-03-20,14:58
﻿British Columbia,-580,2021-03-20,15:00
Montana,-237,2021-03-20,15:00
Saskatchewan,0,2021-03-20,15:00
TOTAL,-817,2021-03-20,15:00
﻿British Columbia,-566,2021-03-20,15:02
Montana,-232,2021-03-20,15:02
Saskatchewan,0,2021-03-20,15:02
TOTAL,-798,2021-03-20,15:02
﻿British Columbia,-521,2021-03-20,15:04
Montana,-232,2021-03-20,15:04
Saskatchewan,0,2021-03-20,15:04
TOTAL,-753,2021-03-20,15:04
﻿British Columbia,-521,2021-03-20,15:06
Montana,-239,2021-03-20,15:06
Saskatchewan,0,2021-03-20,15:06
TOTAL,-760,2021-03-20,15:06
﻿British Columbia,-551,2021-03-20,15:08
Montana,-250,2021-03-20,15:08
Saskatchewan,0,2021-03-20,15:08
TOTAL,-801,2021-03-20,15:08
﻿British Columbia,-556,2021-03-20,15:10
Montana,-254,2021-03-20,15:10
Saskatchewan,0,2021-03-20,15:10
TOTAL,-810,2021-03-20,15:10
﻿British Columbia,-552,2021-03-20,15:12
Montana,-249,2021-03-20,15:12
Saskatchewan,0,2021-03-20,15:12
TOTAL,-801,2021-03-20,15:12
﻿British Columbia,-555,2021-03-20,15:14
Montana,-243,2021-03-20,15:14
Saskatchewan,0,2021-03-20,15:14
TOTAL,-798,2021-03-20,15:14
﻿British Columbia,-580,2021-03-20,15:16
Montana,-270,2021-03-20,15:16
Saskatchewan,0,2021-03-20,15:16
TOTAL,-850,2021-03-20,15:16
﻿British Columbia,-611,2021-03-20,15:18
Montana,-246,2021-03-20,15:18
Saskatchewan,0,2021-03-20,15:18
TOTAL,-857,2021-03-20,15:18
﻿British Columbia,-555,2021-03-20,15:20
Montana,-235,2021-03-20,15:20
Saskatchewan,0,2021-03-20,15:20
TOTAL,-790,2021-03-20,15:20
﻿British Columbia,-567,2021-03-20,15:22
Montana,-236,2021-03-20,15:22
Saskatchewan,0,2021-03-20,15:22
TOTAL,-803,2021-03-20,15:22
﻿British Columbia,-561,2021-03-20,15:24
Montana,-239,2021-03-20,15:24
Saskatchewan,0,2021-03-20,15:24
TOTAL,-800,2021-03-20,15:24
﻿British Columbia,-578,2021-03-20,15:26
Montana,-241,2021-03-20,15:26
Saskatchewan,0,2021-03-20,15:26
TOTAL,-819,2021-03-20,15:26
﻿British Columbia,-607,2021-03-20,15:28
Montana,-243,2021-03-20,15:28
Saskatchewan,0,2021-03-20,15:28
TOTAL,-850,2021-03-20,15:28
﻿British Columbia,-587,2021-03-20,15:30
Montana,-240,2021-03-20,15:30
Saskatchewan,0,2021-03-20,15:30
TOTAL,-827,2021-03-20,15:30
﻿British Columbia,-568,2021-03-20,15:32
Montana,-246,2021-03-20,15:32
Saskatchewan,0,2021-03-20,15:32
TOTAL,-814,2021-03-20,15:32
﻿British Columbia,-588,2021-03-20,15:35
Montana,-254,2021-03-20,15:35
Saskatchewan,0,2021-03-20,15:35
TOTAL,-842,2021-03-20,15:35
﻿British Columbia,-572,2021-03-20,15:37
Montana,-244,2021-03-20,15:37
Saskatchewan,0,2021-03-20,15:37
TOTAL,-816,2021-03-20,15:37
﻿British Columbia,-585,2021-03-20,15:39
Montana,-249,2021-03-20,15:39
